ano,tag,nomeMusica,duracao
1955,jazz,Sophisticated Lady,303
1956,jazz,Manuel's Mambo,197
1959,pop,Baby's First Christmas,147
1959,country,You Tell Me,80
1959,rock,You Tell Me,80
1959,country,The Battle Of New Orleans,149
1960,country,Against My Will (LP Version),205
1960,pop,Against My Will (LP Version),205
1960,rock,Against My Will (LP Version),205
1960,country,Your One And Only (LP Version),188
1960,pop,Your One And Only (LP Version),188
1960,rock,Your One And Only (LP Version),188
1960,pop,Dedicated To The One I Love,127
1960,pop,Will You Love Me Tomorrow,160
1961,country,A Poor Man's Roses,169
1961,pop,A Poor Man's Roses,169
1961,rock,A Poor Man's Roses,169
1963,country,Fortune Teller,117
1963,reggae,Fortune Teller,117
1963,rock,Fortune Teller,117
1963,pop,Foolish Little Girl,132
1964,pop,Ain't She Sweet,131
1964,rock,Ain't She Sweet,131
1964,country,Time Is On My Side,173
1964,reggae,Time Is On My Side,173
1964,rock,Time Is On My Side,173
1964,country,Around And Around,183
1964,reggae,Around And Around,183
1964,rock,Around And Around,183
1964,pop,(The Best Part Of) Breakin' Up,183
1965,country,I'd Rather Have Jesus,161
1966,rock,All Your Love,215
1966,rock,A Simple Desultory Philippic (Or How I Was Robert McNamara'd Into Submission),139
1966,rock,Patterns,183
1966,country,Think,190
1966,reggae,Think,190
1966,rock,Think,190
1967,country,I'm Not Worth the Tears,152
1967,pop,I'm Not Worth the Tears,152
1967,jazz,Games That Lovers Play,260
1967,rock,A Hard Road,305
1967,rock,Matilda Mother (Stereo) (2007 Remaster),187
1967,rock,Strange Days ( LP Version ),187
1967,country,Shenandoah,201
1968,rock,Old Friends,131
1968,country,Stand By Your Man,160
1968,country,I Stayed Long Enough,120
1968,rock,I Heard Her Call My Name,277
1969,rock,Maybe,247
1969,rock,Fire,192
1969,country,A Boy Named Sue,217
1969,rock,A Boy Named Sue,217
1969,rock,Be Careful With A Fool,316
1969,rock,Intro 2/ Kick Out The Jams (LP Version),172
1970,country,(I'm So) Afraid Of Losing You Again,188
1970,rock,Don't Waste My Time,193
1970,rock,Immigrant Song (Album Version),145
1970,rock,The American Ruse (LP Version),150
1970,country,A Man Can Only Stand Just So Much Pain (Bonus Track),153
1971,rock,Caught In A Dream (Album Version),190
1971,rock,Be My Lover,198
1971,country,Letter To Heaven,155
1971,pop,Letter To Heaven,155
1971,rock,Get It While You Can,206
1971,rock,Miss X (LP Version),308
1971,rock,Future/Now (LP Version),381
1971,rock,What Should Be Done,253
1972,rock,Piece Of My Heart,266
1972,rock,Down On Me,183
1972,pop,Ain't No Sunshine,252
1972,rock,Ain't No Sunshine,252
1972,pop,I Wanna Be Where You Are,183
1972,rock,I Wanna Be Where You Are,183
1972,pop,Song Sung Blue,172
1972,rock,Song Sung Blue,172
1972,pop,Song Sung Blue,194
1972,rock,Song Sung Blue,194
1972,rock,The Gold It's In The ... (1996 Digital Remaster),188
1972,country,Rocks Off,272
1972,reggae,Rocks Off,272
1972,rock,Rocks Off,272
1972,jazz,China,295
1973,rock,Rosalita (Come Out Tonight),592
1973,rock,Don't Worry Baby (1999 Digital Remaster),253
1973,country,Sister Sue,162
1973,jazz,No Pienses Asi,267
1973,rock,Baby's On Fire,317
1973,reggae,Let's Seize The Time,302
1973,rock,Antarctica Starts Here,200
1973,pop,Morning Glow,218
1973,rock,Morning Glow,218
1973,rock,Bo Diddley,463
1973,rock,Vietnamese Baby,235
1974,rock,Lord Of The Thighs,425
1974,rock,Same Old Song And Dance,358
1974,country,Crying Time,189
1974,country,Riot In Cell Block #9,196
1974,country,Too Much Fun,206
1974,rock,You Never Cry Like A Lover (LP Version),241
1974,country,Lonesome To The Bone,162
1974,rock,Lonesome To The Bone,162
1974,rock,Sally Can't Dance,212
1974,rock,Human Being,344
1974,rock,Stranded In The Jungle,246
1974,rock,Human Being,344
1975,country,Simple Twist Of Fate,258
1975,rock,Simple Twist Of Fate,258
1975,country,Cajun Baby (LP Version),162
1975,rock,Once I Had A Woman,470
1975,pop,We're Almost There,222
1975,rock,We're Almost There,222
1975,pop,Just A Little Bit Of You,193
1975,rock,Just A Little Bit Of You,193
1975,jazz,Journey To Love,283
1975,rock,Journey To Love,283
1975,rock,Slip Kid,272
1976,rock,This One's For You,209
1976,rock,2HB (1999 Digital Remaster),195
1976,rock,She cracked,261
1977,reggae,It's A Long Way Around,186
1977,rock,Right To Work,201
1977,pop,Moss Garden (1999 Digital Remaster),305
1977,rock,Moss Garden (1999 Digital Remaster),305
1977,country,Light Of A Clear Blue Morning,294
1977,pop,Light Of A Clear Blue Morning,294
1977,country,The Son Of Hickory Holler's Tramp,189
1977,pop,The Son Of Hickory Holler's Tramp,189
1977,rock,Seventeen,130
1977,rock,Pretty Vacant,195
1977,rock,Looking For A Kiss,191
1977,rock,I'm So Bored With The U.S.A.,141
1977,rock,3 + 3,576
1978,country,New Pony,279
1978,rock,New Pony,279
1978,rock,Move On,192
1978,reggae,Soon Come (2002 Digital Remaster),238
1978,reggae,Stand Firm (2002 Digital Remaster),371
1978,pop,Baby (LP Version),190
1978,rock,Baby (LP Version),190
1978,rock,So Lonely,290
1978,rock,Falling In Love,185
1978,rock,Don't Mess With Me (2006 Digital Remaster),204
1979,rock,Reefer Head Woman,242
1979,rock,Decide,302
1979,reggae,Down the Line,219
1979,jazz,Joe Avery's Piece,192
1979,pop,Joe Avery's Piece,192
1979,rock,Joe Avery's Piece,192
1979,rock,Death Or Glory,228
1979,rock,Mr. Sellack (Album Version),244
1979,rock,Anyway_ Anyhow_ Anywhere,170
1980,reggae,Civilized Reggae,355
1980,pop,Hey Louise,181
1980,rock,Hey Louise,181
1980,rock,Lose This Skin,309
1980,rock,Man In A Suitcase,137
1980,rock,Voices Inside My Head,233
1980,rock,It's Bad For Me (Album Version),166
1980,rock,Fool For Your Loving,250
1981,pop,Baltimore Oriole (2004 Digital Remaster),239
1981,rock,Baltimore Oriole (2004 Digital Remaster),239
1981,jazz,I'm Not Moving,155
1981,pop,I'm Not Moving,155
1981,rock,I'm Not Moving,155
1981,pop,Careful In Career,309
1981,rock,Careful In Career,309
1981,pop,Doubt,68
1981,rock,Doubt,68
1981,pop,Primary,210
1981,rock,Primary,210
1981,country,Start Me Up,242
1981,reggae,Start Me Up,242
1981,rock,Start Me Up,242
1981,rock,It Only Takes Two To Tango,218
1981,rock,October,142
1981,rock,"Dirty Movies"" (Album Version)",248
1982,rock,Make That Money (Scrooge's Song) (Album Version),209
1982,rock,Goin' To The River,211
1982,pop,Baal's Hymn,243
1982,rock,Baal's Hymn,243
1982,rock,Poor Tom (Album Version),182
1982,rock,Hit The Lights,252
1982,rock,Metal Militia,311
1982,jazz,I Cannot Believe It's True,316
1982,pop,I Cannot Believe It's True,316
1982,rock,I Cannot Believe It's True,316
1982,rock,Stumble,340
1982,rock,Murder In The Graveyard,184
1982,rock,Inoculated City,131
1982,rock,Losing True (Album Version),295
1983,jazz,I've Been Missin' You,256
1983,rock,There She Goes Again,164
1983,pop,Hunter And The Hunted (Live),352
1983,rock,Hunter And The Hunted (Live),352
1983,rock,Playboy,323
1983,rock,King Of Pain,318
1983,rock,Wrapped Around Your Finger,314
1983,rock,House Of Pain,199
